epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,575.393,0.65455,0.19345,0,0.42226,0.9689,0.99875,1,0.995,0.69803,0.99875,1,0.995,0.995,1.09209,0.04767,0,0.40696,1.32118,0.000911,0.000911,0.000911
57,587.002,0.67766,0.25136,0,0.41478,0.96497,0.99923,1,0.995,0.68493,0.99923,1,0.995,0.995,1.13727,0.05183,0,0.42034,1.34153,0.0008912,0.0008912,0.0008912
58,595.133,0.669,0.22239,0,0.42798,0.97354,0.98857,1,0.99478,0.68922,0.98857,1,0.99478,0.9944,1.10781,0.05529,0,0.42596,1.32858,0.0008714,0.0008714,0.0008714
59,606.38,0.66189,0.22352,0,0.41019,0.98569,0.99931,1,0.995,0.69698,0.99931,1,0.995,0.99334,1.12709,0.05069,0,0.42199,1.36832,0.0008516,0.0008516,0.0008516
60,615.244,0.67738,0.18948,0,0.41862,0.97327,0.99921,1,0.995,0.71641,0.99921,1,0.995,0.995,1.115,0.0527,0,0.42384,1.35813,0.0008318,0.0008318,0.0008318
61,625.423,0.65966,0.20469,0,0.39784,0.96173,0.99934,1,0.995,0.71161,0.99934,1,0.995,0.995,1.16011,0.0462,0,0.4315,1.43267,0.000812,0.000812,0.000812
62,635.011,0.65684,0.20006,0,0.39686,0.96347,0.99934,1,0.995,0.72096,0.99934,1,0.995,0.995,1.13138,0.04408,0,0.41841,1.38072,0.0007922,0.0007922,0.0007922
63,644.817,0.66968,0.20185,0,0.42467,0.96238,0.99933,1,0.995,0.71018,0.99933,1,0.995,0.99038,1.10136,0.05573,0,0.41545,1.33793,0.0007724,0.0007724,0.0007724
64,655.611,0.63699,0.19363,0,0.39088,0.97019,0.99932,1,0.995,0.71117,0.99932,1,0.995,0.995,1.07159,0.04963,0,0.40893,1.32475,0.0007526,0.0007526,0.0007526
65,664.124,0.66075,0.20018,0,0.41714,0.97476,0.99932,1,0.995,0.70809,0.99932,1,0.995,0.995,1.08481,0.03701,0,0.41374,1.33168,0.0007328,0.0007328,0.0007328
66,675.731,0.62853,0.16495,0,0.38239,0.96628,0.99922,1,0.995,0.68821,0.99922,1,0.995,0.99216,1.13598,0.0606,0,0.42394,1.37093,0.000713,0.000713,0.000713
67,684.002,0.61456,0.14131,0,0.37373,0.95121,0.99912,1,0.995,0.71021,0.99912,1,0.995,0.995,1.13926,0.04081,0,0.41195,1.36778,0.0006932,0.0006932,0.0006932
68,695.485,0.59724,0.18583,0,0.37648,0.96247,0.99774,1,0.995,0.68438,0.99774,1,0.995,0.995,1.15561,0.03698,0,0.42369,1.40748,0.0006734,0.0006734,0.0006734
69,703.552,0.61567,0.21648,0,0.39353,0.9427,0.99563,1,0.995,0.71935,0.99563,1,0.995,0.995,1.1387,0.03975,0,0.4223,1.365,0.0006536,0.0006536,0.0006536
