epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,448.628,0.82743,0.31071,0,0.51725,1.05459,0.99908,1,0.995,0.67799,0.99908,1,0.995,0.98914,1.11467,0.08146,0,0.48777,1.36903,0.0012476,0.0012476,0.0012476
40,461.222,0.81863,0.28722,0,0.5219,1.03981,0.99921,1,0.995,0.72465,0.99921,1,0.995,0.99441,1.11199,0.09293,0,0.45016,1.35911,0.0012278,0.0012278,0.0012278
41,470.012,0.80785,0.27096,0,0.48079,1.037,0.99921,1,0.995,0.70419,0.99921,1,0.995,0.99179,1.08682,0.07527,0,0.47557,1.35529,0.001208,0.001208,0.001208
42,482.466,0.74931,0.28567,0,0.47346,1.02573,0.99881,1,0.995,0.72348,0.99881,1,0.995,0.98928,1.05461,0.06832,0,0.44636,1.30413,0.0011882,0.0011882,0.0011882
43,491.468,0.81268,0.26955,0,0.48449,1.03444,0.9989,1,0.995,0.71165,0.9989,1,0.995,0.99392,1.05974,0.07551,0,0.46374,1.29273,0.0011684,0.0011684,0.0011684
44,503.299,0.75089,0.25709,0,0.46508,1.00833,0.9989,1,0.995,0.66701,0.9989,1,0.995,0.995,1.0907,0.06717,0,0.44546,1.3013,0.0011486,0.0011486,0.0011486
45,513.75,0.76661,0.23939,0,0.46877,1.01929,0.98831,1,0.99425,0.68922,0.98831,1,0.99425,0.96758,1.08347,0.1588,0,0.4413,1.33094,0.0011288,0.0011288,0.0011288
46,523.698,0.77787,0.24386,0,0.47085,1.03507,0.9993,1,0.995,0.7293,0.9993,1,0.995,0.995,1.03301,0.04973,0,0.44048,1.26041,0.001109,0.001109,0.001109
47,535.995,0.79268,0.21957,0,0.47296,1.01954,0.99855,1,0.995,0.64754,0.99855,1,0.995,0.99146,1.19379,0.10155,0,0.4685,1.45556,0.0010892,0.0010892,0.0010892
48,544.776,0.75169,0.24875,0,0.45662,1.01097,0.99902,1,0.995,0.70151,0.99902,1,0.995,0.995,1.10608,0.06551,0,0.43521,1.32558,0.0010694,0.0010694,0.0010694
49,556.823,0.73244,0.21353,0,0.45192,1.01648,0.99928,1,0.995,0.67499,0.99928,1,0.995,0.99421,1.06866,0.05919,0,0.42655,1.32685,0.0010496,0.0010496,0.0010496
50,565.903,0.7083,0.21365,0,0.45066,0.98352,0.9993,1,0.995,0.68464,0.9993,1,0.995,0.995,1.08836,0.05993,0,0.42989,1.34319,0.0010298,0.0010298,0.0010298
51,577.312,0.73112,0.22634,0,0.43675,0.99535,0.99897,1,0.995,0.69314,0.99897,1,0.995,0.99432,1.10252,0.08201,0,0.46975,1.34826,0.00101,0.00101,0.00101
52,587.99,0.71766,0.23104,0,0.4494,1.03003,0.9993,1,0.995,0.67834,0.9993,1,0.995,0.995,1.09529,0.04922,0,0.4835,1.37146,0.0009902,0.0009902,0.0009902
53,601.178,0.71549,0.26071,0,0.45793,1.00227,0.99875,1,0.995,0.68186,0.99875,1,0.995,0.995,1.13112,0.04959,0,0.44818,1.38933,0.0009704,0.0009704,0.0009704
54,612.924,0.67474,0.19966,0,0.42704,0.9909,0.99928,1,0.995,0.67508,0.99928,1,0.995,0.995,1.15169,0.06028,0,0.45293,1.42096,0.0009506,0.0009506,0.0009506
55,621.803,0.74301,0.23358,0,0.46073,1.00794,0.99926,1,0.995,0.69331,0.99926,1,0.995,0.995,1.10336,0.06788,0,0.42056,1.30034,0.0009308,0.0009308,0.0009308
56,634.093,0.6738,0.17661,0,0.42662,0.97415,0.99931,1,0.995,0.71358,0.99931,1,0.995,0.995,1.04414,0.04337,0,0.42079,1.28957,0.000911,0.000911,0.000911
57,642.873,0.69741,0.20935,0,0.42669,0.97757,0.99932,1,0.995,0.67211,0.99932,1,0.995,0.995,1.14164,0.04198,0,0.45437,1.3704,0.0008912,0.0008912,0.0008912
58,654.572,0.69871,0.20244,0,0.42951,0.98192,0.99933,1,0.995,0.71091,0.99933,1,0.995,0.995,1.07969,0.06368,0,0.42271,1.31431,0.0008714,0.0008714,0.0008714
59,664.595,0.69141,0.19964,0,0.41673,0.99738,0.99933,1,0.995,0.72002,0.99933,1,0.995,0.995,1.0628,0.05606,0,0.39606,1.3025,0.0008516,0.0008516,0.0008516
60,674.956,0.69094,0.18311,0,0.41565,0.98687,0.99924,1,0.995,0.68008,0.99924,1,0.995,0.995,1.13663,0.07325,0,0.41947,1.36226,0.0008318,0.0008318,0.0008318
61,686.562,0.6889,0.19973,0,0.40164,0.98581,0.99934,1,0.995,0.67593,0.99934,1,0.995,0.995,1.1373,0.08864,0,0.41983,1.41326,0.000812,0.000812,0.000812
62,695.341,0.67404,0.17691,0,0.40325,0.97748,0.99928,1,0.995,0.694,0.99928,1,0.995,0.995,1.10715,0.04332,0,0.40581,1.36656,0.0007922,0.0007922,0.0007922
63,707.57,0.67753,0.22302,0,0.41253,0.97102,0.99935,1,0.995,0.68756,0.99935,1,0.995,0.99206,1.11052,0.06208,0,0.40213,1.34549,0.0007724,0.0007724,0.0007724
64,716.403,0.67393,0.17772,0,0.39778,0.99322,0.99932,1,0.995,0.70985,0.99932,1,0.995,0.99417,1.08776,0.05193,0,0.41584,1.3608,0.0007526,0.0007526,0.0007526
65,728.329,0.69526,0.1991,0,0.43092,0.99591,0.99934,1,0.995,0.7145,0.99934,1,0.995,0.99369,1.09307,0.04637,0,0.40098,1.35061,0.0007328,0.0007328,0.0007328
66,738.42,0.63943,0.14416,0,0.40024,0.97737,0.99577,1,0.995,0.69498,0.99577,1,0.995,0.99188,1.13206,0.05639,0,0.42046,1.38182,0.000713,0.000713,0.000713
67,748.897,0.6235,0.13644,0,0.38845,0.96196,0.99934,1,0.995,0.68012,0.99934,1,0.995,0.995,1.15504,0.06627,0,0.41653,1.38632,0.0006932,0.0006932,0.0006932
68,760.625,0.61357,0.13868,0,0.39194,0.96768,0.99933,1,0.995,0.70048,0.99933,1,0.995,0.995,1.12174,0.04183,0,0.405,1.39028,0.0006734,0.0006734,0.0006734
69,772.371,0.64437,0.16575,0,0.39459,0.954,0.95772,1,0.96361,0.68001,0.95772,1,0.96361,0.96188,1.04168,0.0524,0,0.4193,1.33906,0.0006536,0.0006536,0.0006536
70,784.505,0.65766,0.15617,0,0.40487,0.98089,0.99934,1,0.995,0.73038,0.99934,1,0.995,0.9939,1.04562,0.051,0,0.41923,1.31224,0.0006338,0.0006338,0.0006338
71,795.048,0.64512,0.13117,0,0.38217,0.96474,0.99935,1,0.995,0.73852,0.99935,1,0.995,0.995,1.09863,0.04075,0,0.40732,1.37817,0.000614,0.000614,0.000614
72,805.364,0.63603,0.11371,0,0.37678,0.952,0.99936,1,0.995,0.73321,0.99936,1,0.995,0.99451,1.13073,0.04462,0,0.42595,1.42889,0.0005942,0.0005942,0.0005942
73,817.261,0.63397,0.15089,0,0.38397,0.96784,0.99936,1,0.995,0.74055,0.99936,1,0.995,0.995,1.05505,0.03927,0,0.39308,1.35765,0.0005744,0.0005744,0.0005744
74,826.077,0.59563,0.12711,0,0.3704,0.93858,0.99935,1,0.995,0.74019,0.99935,1,0.995,0.995,1.03179,0.04473,0,0.38525,1.33084,0.0005546,0.0005546,0.0005546
75,838.197,0.60941,0.1386,0,0.37145,0.95372,0.99937,1,0.995,0.72045,0.99937,1,0.995,0.995,1.05171,0.03801,0,0.4007,1.332,0.0005348,0.0005348,0.0005348
76,847.057,0.59324,0.11235,0,0.35925,0.9433,0.99937,1,0.995,0.69982,0.99937,1,0.995,0.99479,1.1038,0.03946,0,0.3968,1.40432,0.000515,0.000515,0.000515
77,858.863,0.61606,0.1357,0,0.37234,0.95982,0.99936,1,0.995,0.72775,0.99936,1,0.995,0.99475,1.11708,0.03676,0,0.41706,1.40166,0.0004952,0.0004952,0.0004952
78,868.801,0.58021,0.10995,0,0.36976,0.9493,0.99933,1,0.995,0.72341,0.99933,1,0.995,0.99425,1.07781,0.03221,0,0.39051,1.38257,0.0004754,0.0004754,0.0004754
79,878.953,0.60378,0.12316,0,0.35986,0.93671,0.99932,1,0.995,0.72097,0.99932,1,0.995,0.995,1.07087,0.03452,0,0.39778,1.36852,0.0004556,0.0004556,0.0004556
80,890.758,0.60052,0.13216,0,0.36024,0.9479,0.99924,1,0.995,0.72873,0.99924,1,0.995,0.995,1.05816,0.02781,0,0.38186,1.37822,0.0004358,0.0004358,0.0004358
81,899.635,0.63179,0.12248,0,0.3634,0.9557,0.99931,1,0.995,0.71172,0.99931,1,0.995,0.995,1.09322,0.03739,0,0.39454,1.40437,0.000416,0.000416,0.000416
82,911.616,0.57021,0.11504,0,0.34578,0.95824,0.99937,1,0.995,0.70876,0.99937,1,0.995,0.995,1.08931,0.03891,0,0.3849,1.40119,0.0003962,0.0003962,0.0003962
83,920.798,0.58915,0.11825,0,0.35648,0.93835,0.99939,1,0.995,0.69467,0.99939,1,0.995,0.99471,1.14429,0.033,0,0.39632,1.44759,0.0003764,0.0003764,0.0003764
84,932.042,0.56302,0.10946,0,0.34336,0.9346,0.99937,1,0.995,0.70444,0.99937,1,0.995,0.995,1.07247,0.02538,0,0.38975,1.35718,0.0003566,0.0003566,0.0003566
85,943.474,0.57905,0.11559,0,0.34632,0.9273,0.99938,1,0.995,0.72217,0.99938,1,0.995,0.995,1.05125,0.02939,0,0.37312,1.30832,0.0003368,0.0003368,0.0003368
86,955.908,0.57365,0.08988,0,0.33994,0.92912,0.99938,1,0.995,0.71718,0.99938,1,0.995,0.995,1.07338,0.02486,0,0.38372,1.33479,0.000317,0.000317,0.000317
